Organization Name,Organization Name URL,Categories,Headquarters Location,Description,CB Rank (Company),Website,LinkedIn,Contact Email,Phone Number,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Type,Total Funding Amount
Adtuitive,https://www.crunchbase.com/organization/adtuition,"Advertising, Brand Marketing, Digital Media","New York, New York, United States",Adtuitive is a contextually-driven ad platform working with publishers to provide search and display marketing solutions for retailers.,"58,831",http://adtuitive.com,,contact@adtuitive.com,(212) 537-5812,"Greg Fodor, Isaac Oates, Jason Davis",10-Jan,1,M&A,2/1/09,"$1,300,000 ",Series A,"$1,300,000 "
TrueChoice Solutions,https://www.crunchbase.com/organization/truechoice-solutions,"CRM, Lead Generation, SaaS, Software","New York, New York, United States",Marketing software application provider,"59,482",http://www.truechoicesolutions.com,http://www.linkedin.com/company/51064,wmeurer@truechoicesolutions.com,2125748554,Sev Keil,Nov-50,2,Early Stage Venture,2/18/16,,Series A,"$600,000 "
PickTaxi,https://www.crunchbase.com/organization/picktaxi,"Information Technology, iOS, Taxi Service","New York, New York, United States",PickTaxi is an automated location-based taxi booking service that can be access from smartphones or web.,"60,182",http://www.picktaxi.com,https://www.linkedin.com/company/picktaxi,sales@picktaxi.com,(775)623-7855,Amie Gurd,10-Jan,2,Early Stage Venture,11/12/15,"$150,000 ",Series A,"$423,000 "
Crowd Fusion,https://www.crunchbase.com/organization/crowd-fusion,"Internet, Software","New York, New York, United States",Crowd Fusion is a cloud-native publishing platform and CMS that media brands use to create content.,"60,354",http://www.crowdfusion.com/,https://www.linkedin.com/company/crowd-fusion,info@ceros.com,347-744-9250,"Brian Alvey, Craig Wood",10-Jan,1,Early Stage Venture,7/31/08,"$3,000,000 ",Series A,"$3,000,000 "
Signal360 (formerly Sonic Notify),https://www.crunchbase.com/organization/sonic-notify,"Advertising, Audio, Broadcasting, Content, Events, Local, SaaS, Software","New York, New York, United States",Signal360 is a provider of proximity based moments powered by the latest technology across platforms.,"60,447",http://www.signal360.com,,info@sonicnotify.com,212-255-6566,Alex Bell,Nov-50,3,Early Stage Venture,5/14/15,,Series B,"$4,550,000 "
Noble Markets,https://www.crunchbase.com/organization/noble-markets,"Finance, Financial Services, FinTech, Trading Platform","New York, New York, United States","Noble is a banking platform that focuses solely on enabling clients to clear, net and settle FX & OTC transactions in real-time‰ÛÜ.","61,047",http://www.noblegrp.com,https://www.linkedin.com/company/noble-markets?trk=company_logo&_mSplash=1,info@noblegrp.com,1 (646) 849-6347,,Nov-50,1,Early Stage Venture,4/18/16,,Series A,
Grouper,https://www.crunchbase.com/organization/grouper-2,"Events, Social Media, Social Network","New York, New York, United States",Grouper is a social club connecting groups of people in the U.S. cities and organizing parties to meet other groups.,"61,388",http://joingrouper.com,,hello@joingrouper.com,917-819-8174,"Michael Waxman, Tom Brown",Nov-50,2,Early Stage Venture,11/25/13,,Series A,
CrowdBouncer,https://www.crunchbase.com/organization/crowdbouncer,Software,"Buffalo, New York, United States","CrowdBouncer offers compliance cloud solutions, including data security; CrowdSIP.","61,689",http://www.crowdbouncer.com/,http://www.linkedin.com/company/crowdbouncer-llc,,(716)857-0987,"Brian Fending, Keith Blakely, Robert Carbone",Nov-50,1,Early Stage Venture,2/5/14,"$437,500 ",Series A,"$437,500 "
Sport Street,https://www.crunchbase.com/organization/sport-street,"Soccer, Sports","Roslyn, New York, United States",Sport Street is a social platform that provides aggregated social news streams related to athletes via a mobile application.,"64,000",http://www.sportstreet.com,,pr@sportstreet.com,917-757-6953,Daniel Smith,Nov-50,1,Early Stage Venture,8/1/12,"$1,250,000 ",Series A,"$1,250,000 "
PhotoShelter,https://www.crunchbase.com/organization/photoshelter,"E-Commerce, Photography","New York, New York, United States",PhotoShelter is a photography website empowering photo sales and providingåÊmarketing and archiving tools for photographers.,"64,265",http://www.photoshelter.com,,support@photoshelter.com,212-206-0808,"Allen Murabayashi, Grover Sanschagrin, Jason Burfield, Jeffrey Arnold, Jeffrey Arnold",Nov-50,1,Early Stage Venture,4/16/07,"$4,200,000 ",Series A,"$4,200,000 "
Mandoyo,https://www.crunchbase.com/organization/mandoyo,"E-Commerce, Professional Services, Small and Medium Businesses","New York, New York, United States","Mandoyo is an internet start-up company based in New York focused on individuals and businesses in the finance, marketing and IT sectors.","64,696",http://www.mandoyo.com,,info@mandoyo.com,212-208-1432,Christhi Theiss,10-Jan,2,Early Stage Venture,8/30/13,"$400,000 ",Series A,"$700,000 "
Nutrafol,https://www.crunchbase.com/organization/nutrafol,Consumer Goods,"New York, New York, United States",Nutrafol is a nutraceutical.,"67,064",https://www.nutrafol.com/,https://www.linkedin.com/company-beta/10796222/,support@nutrafol.com,1.19E+11,Giorgos Tsetis C.E.,Nov-50,1,Early Stage Venture,5/9/17,,Series A,
Bundle,https://www.crunchbase.com/organization/bundle,"Database, Finance, Web Browsers","New York, New York, United States","Bundle is an online database of money spending and saving trends, providing information on how people spend, save and invest money.","68,201",http://www.bundle.com,,,,Jaidev Shergill,Nov-50,1,M&A,6/1/09,,Series A,
NextNine - Industrial Strength Cyber Security,https://www.crunchbase.com/organization/nextnine,"Cyber Security, Industrial Automation, Software","New York, New York, United States",NextNine is a security management software for industrial and critical infrastructure.,"69,159",http://www.nextnine.com,https://www.linkedin.com/company/nextnine,support@nextnine.com,866-770-8909,Eldad Maniv,Nov-50,4,M&A,9/27/06,"$10,000,000 ",Series C,"$39,500,000 "
Perpetua Labs,https://www.crunchbase.com/organization/perpetua-labs,Content,"New York, New York, United States",Perpetua Labs algorithm arranges recommendation the best growth tactics for your business.,"70,197",http://www.perpetualabs.com/,https://www.linkedin.com/company/perpetua-labs,,,"Alexander Good, Rosco Hill",10-Jan,3,Early Stage Venture,1/1/18,,Series A,
LTVtrade,https://www.crunchbase.com/organization/ltvtrade,Financial Exchanges,"Manhattan, New York, United States",Secondary exchange for the trading of whole loan mortgages,"73,929",http://www.ltvtrade.com,,,,Dean DiCarlo,Nov-50,2,Early Stage Venture,3/11/11,"$1,400,000 ",Series A,"$2,550,000 "
TRADE TO REBATE,https://www.crunchbase.com/organization/trade-to-rebate,"Coupons, E-Commerce, Electronics, Furniture","Long Island City, New York, United States","Trade to Rebate is an online marketplace offering electronics, appliances, and furniture to individuals who want to upgrade old items.","74,391",http://tradetorebate.com,,,,,10-Jan,1,Early Stage Venture,7/15/13,"$525,000 ",Series A,"$525,000 "
Ticket Monster,https://www.crunchbase.com/organization/ticket-monster,"Concerts, Events, Sports, Theatre, Ticketing","New York, New York, United States","Sport, Concert, Theater Event Tickets","76,039",http://www.ticketmonster.com,,sm@ticketmonster.com,866-217-4777,Brian Lefton,Nov-50,1,Early Stage Venture,1/1/16,,Series A,
whistleBox,https://www.crunchbase.com/organization/whistlebox,"Gaming, Internet, Video Games","Brooklyn, New York, United States","Whistlebox offers augmented reality and video applications used for promotions, games, advertising, entertainment, education, and others.","76,253",http://www.whistlebox.com,,,718-387-9790,,Nov-50,1,Early Stage Venture,2/9/09,"$2,300,000 ",Series A,"$2,300,000 "
DigiMeld,https://www.crunchbase.com/organization/digimeld,"Content Delivery Network, Video, Video Streaming","New York, New York, United States",DigiMeld provides video streaming solutions that can be integrated with content delivery networks.,"76,317",http://digimeld.com,,info@digimeld.com,212-564-1624,,10-Jan,1,Early Stage Venture,9/3/08,"$2,000,000 ",Series A,"$2,000,000 "
SellerCrowd,https://www.crunchbase.com/organization/sellercrowd,"B2B, Social CRM","New York, New York, United States","They‰Ûªre a community of media sellers from over 6,500 companies that gather on a daily basis.","76,660",http://sellercrowd.com,https://www.linkedin.com/company/3182239,,617-680-6161,Richard Tibbetts,Nov-50,1,Early Stage Venture,3/1/13,,Series A,
Pearescope,https://www.crunchbase.com/organization/pearescope,"Apps, Coupons, Local, Social Media","New York, New York, United States",Pearescope is a network solution that allows members to introduce themselves privately and selectively to nearby mutual friends.,"76,730",http://www.Pearescope.com,,info@pearescope.com,,Whit Schrader,10-Jan,2,Early Stage Venture,8/14/11,"$265,000 ",Series A,"$325,000 "
Kaptur,https://www.crunchbase.com/organization/kaptur,Photography,"New York, New York, United States",Kaptur is a website and mobile application enabling users to instantly collect and collate everyone's photos from any event.,"78,459",http://www.kaptur.com,,info@kaptur.com,(917) 775-8583,"Tejpaul Bhatia, Vikash Mishra",10-Jan,1,M&A,3/19/12,"$2,000,000 ",Series A,"$2,000,000 "
Explosive Labs ,https://www.crunchbase.com/organization/explosive-labs,,"New York, New York, United States",Explosive labs develops and deploys market-transforming technology products.,"78,679",http://www.ExplosiveLabs.com,,contact@el.com,201--211-2000,,Nov-50,1,Early Stage Venture,11/22/10,"$8,700,000 ",Series A,"$8,700,000 "
CogniFit,https://www.crunchbase.com/organization/cognifit,Health Care,"New York, New York, United States",Cognifit is a healthcare company developing online cognitive assessments and brain training computer programs.,"78,818",https://www.cognifit.com,https://www.linkedin.com/company/cognifit,support@cognifit.com,,Prof. Shlomo Breznitz,Nov-50,1,Early Stage Venture,7/1/08,"$5,000,000 ",Series A,"$5,000,000 "
Salesconx,https://www.crunchbase.com/organization/salesconx,"B2B, E-Commerce, Enterprise Software, Internet, Lead Generation","New York, New York, United States",Salesconx is an online marketplace and network for business referrals.,"81,128",http://www.salesconx.com,,info@salesconx.com,212-453-9880,,Nov-50,1,M&A,8/15/08,"$1,300,000 ",Series A,"$1,300,000 "
"Workheroes.com, RITTER DIGITAL SOLUTIONS, INC.",https://www.crunchbase.com/organization/workheroes-com-ritter-digital-solutions-inc-,"Marketplace, Online Portals, Service Industry","Brooklyn, New York, United States",Ritter Digital Solutions is an online marketplace to find various types of local and global services.,"81,714",http://workheroes.com/,https://www.linkedin.com/company/workheroes,,,,10-Jan,2,Early Stage Venture,1/1/15,,Series A,"$650,000 "
ShopWiki,https://www.crunchbase.com/organization/shopwiki,"Developer Tools, Price Comparison, Search Engine, Shopping, Video","New York, New York, United States",ShopWiki is an international consumer shopping search engine connecting shoppers with online stores and products.,"82,412",http://www.shopwiki.com,https://www.linkedin.com/company-beta/1778560/?pathWildcard=1778560,info@ShopWiki.com,212-741-8291,"Dwight Merriman, Eliot Horowitz, Eliot Horowitz, Kevin Ryan",Nov-50,1,M&A,7/1/06,"$6,250,000 ",Series A,"$6,250,000 "
AccessFintech,https://www.crunchbase.com/organization/accessfintech,Financial Services,"New York, New York, United States",A UK-based fintech firm,"82,953",https://www.accessfintech.com/,https://www.linkedin.com/company/access-fintech,,,,Nov-50,1,Early Stage Venture,4/11/18,,Series A,
Botego,https://www.crunchbase.com/organization/botego,"Artificial Intelligence, Customer Service, Knowledge Management, Natural Language Processing, SaaS, Semantic Search, Software, Virtual Assistant","New York, New York, United States","Virtual Customer Reps. Reduces costs, increases customer satisfaction.","83,746",http://www.botego.com/,https://www.linkedin.com/company/324447,ekim.kaya@botego.com,(646)932-9604,"Devrim Demirel, Ekim Kaya",Nov-50,1,Early Stage Venture,2/4/14,,Series A,
"Payz, Inc.",https://www.crunchbase.com/organization/payz-inc,"CRM, Customer Service, E-Commerce, Gift Card, Loyalty Programs, Payments, Virtual Currency","New York, New York, United States","Payz provides payment solutions that enable merchants to easily accept cash, ACH and credit card payments.","84,059",http://payz.com,https://www.linkedin.com/company/payz,info@payz.com,,Damion Hankejh,Nov-50,1,Early Stage Venture,5/26/09,,Series A,
Home Captain,https://www.crunchbase.com/organization/home-captain,Real Estate,"New York, New York, United States","A NYC-based veteran-owned,technology-enabled real estate platform.","84,735",https://homecaptain.com/,https://www.linkedin.com/company/home-captain/,,1-877-847-4302,Grant  Moon,Nov-50,1,Early Stage Venture,3/20/18,,Series A,
HItviews,https://www.crunchbase.com/organization/hitviews,Video,"New York, New York, United States",HITVIEWS is a marketplace enabling brands to place their messages within the top online video producers and performers.,"85,839",http://Hitviews.COM,,DAVID@HITVIEWS.COM,877 HITVIEW,,Nov-50,3,Early Stage Venture,8/1/08,"$800,000 ",Series B,"$2,285,000 "
SelectMinds,https://www.crunchbase.com/organization/selectminds,"Recruiting, Social Recruiting, Web Hosting","New York, New York, United States",SelectMinds delivers networking and referral technologies that help companies form and empower current and former employees as referrers.,"86,695",http://www.selectminds.com,https://www.linkedin.com/company/selectminds,info@selectminds.com,(212)683-2988,Cem Sertoglu,Nov-50,1,M&A,8/1/07,"$5,500,000 ",Series A,"$5,500,000 "
"Carloha, Inc.",https://www.crunchbase.com/organization/carloha-inc-2,"Automotive, E-Commerce, Internet","Westbury, New York, United States",A leading used car e-commerce & on-demand maintenance/service technology company. Bring car buying and selling process online.,"87,009",https://www.carloha.com,https://www.linkedin.com/company/carloha,hello@carloha.com,+1 800-828-5180,"Elvis Dai, Liang Long, Pu Shi",Nov-50,3,Early Stage Venture,12/10/15,,Series A,
